client	REGION.1	BANNER.1	cleaned store name	LINE MANAGER	REP NAME	barcode	article description	Stock Classification (This Week)	Action Column	week ending	Store SOH	 WFC	Open PO Qty	Sell out p4 weeks	Supplying dc soh
LINDT	MPUMALANGA	CHECKERS	CHECKERS FX MERINO MALL	LEON DU TOIT	AYANDA MBONANI	8003340807430.0	NUXOR Dark Cornet 150g	Out of Stock	Urgent: DC OOS	 14 Jan 2026 00:00:00	0	0	0	0	0
LINDT	MPUMALANGA	CHECKERS	CHECKERS FX MERINO MALL	LEON DU TOIT	AYANDA MBONANI	8003340807430.0	NUXOR Dark Cornet 150g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 04 Feb 2026 00:00:00	8	0	0	0	0
LINDT	MPUMALANGA	CHECKERS	CHECKERS FX MERINO MALL	LEON DU TOIT	AYANDA MBONANI	8003340807430.0	NUXOR Dark Cornet 150g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 21 Jan 2026 00:00:00	8	0	0	0	0
LINDT	MPUMALANGA	CHECKERS	CHECKERS FX MERINO MALL	LEON DU TOIT	AYANDA MBONANI	8003340807430.0	NUXOR Dark Cornet 150g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 28 Jan 2026 00:00:00	8	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS ZEERUST	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	Out of Stock	Urgent: DC OOS	 14 Jan 2026 00:00:00	0	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS ZEERUST	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	Out of Stock	Urgent: DC OOS	 21 Jan 2026 00:00:00	0	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS ZEERUST	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 04 Feb 2026 00:00:00	13	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS ZEERUST	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 28 Jan 2026 00:00:00	13	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS FX LICHTENBURG	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	Out of Stock	Urgent: DC OOS	 14 Jan 2026 00:00:00	0	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS FX LICHTENBURG	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	Out of Stock	Urgent: DC OOS	 21 Jan 2026 00:00:00	0	0	0	0	0
LINDT	NORTH WEST	CHECKERS	CHECKERS FX LICHTENBURG	ERNST BOTHA	GEORGE SETHOLE	7610400096959.0	LINDOR Salted Caramel Singles 100g	No Sales (Idle Stock)	Check Count: No Sales in 30 Days	 04 Feb 2026 00:00:00	10	0	0	0	0
